wavenumbers,absorbance
7.0,9.518947489074087e-76
7.016,3.140014650376632e-77
7.032,8.049170742411525e-78
7.048,3.5942939259527636e-78
7.064,2.0251357254464403e-78
7.08,1.2970802655518669e-78
7.096,9.011253676788531e-79
7.112,6.62217606686324e-79
7.128,5.070930351925696e-79
7.144,4.00710902488082e-79
7.16,0.0
7.176,0.0
7.192,0.0
7.208,4.6359096449408065e-09
7.224,5.979021135632898e-09
7.24,8.002893007939177e-09
7.256,1.1259047112527963e-08
7.272,1.6995412544719867e-08
7.288,2.8554584700483088e-08
7.304,5.759977482261611e-08
7.32,1.706191599656567e-07
7.336,1.922600710616411e-06
7.352,7.470800092256287e-07
7.368,1.202464304195876e-07
7.384,4.661296190240077e-08
7.4,2.4540142508413235e-08
7.416,1.5104564346347827e-08
7.432,1.0222853959623655e-08
7.448,7.374945397296606e-09
7.464,5.5701710268466145e-09
7.48,4.355012375398385e-09
7.496,0.0
7.5120000000000005,0.0
7.5280000000000005,0.0
7.5440000000000005,0.0
7.5600000000000005,0.0
7.5760000000000005,0.0
7.592,0.0
7.608,0.0
7.624,0.0
7.64,0.0
7.656,0.0
7.672,0.0
7.688,3.58209719636486e-09
7.704,4.7473749463228396e-09
7.72,6.5894127328554646e-09
7.736,9.754796636314508e-09
7.752,1.589623995846168e-08
7.768,3.035688334959647e-08
7.784,7.927593124184533e-08
7.8,5.191861316773554e-07
7.816,1.13995807126896e-06
7.832,1.056237341004397e-07
7.848,3.610483071356535e-08
7.864,1.799665174224834e-08
7.88,1.0744154117842141e-08
7.896,7.131596408037485e-09
7.912,7.229044788107521e-06
7.928,7.569944614138176e-06
7.944,3.0216108942228546e-05
7.96,3.1668424310537785e-05
7.976,3.3231441425710025e-05
7.992,3.491312469571579e-05
8.008,3.6725800957684303e-05
8.024000000000001,3.8683440714243564e-05
8.04,4.080192840771007e-05
8.056000000000001,4.30993860192108e-05
8.072,4.559656236915871e-05
8.088000000000001,4.831730382474998e-05
8.104,5.1289126475424395e-05
8.120000000000001,5.454391557772287e-05
8.136,5.8118785697269894e-05
8.152000000000001,6.205714519283118e-05
8.168,0.002258369664351764
8.184,0.0023667499672808266
8.2,0.0024831911698926516
8.216,0.0026721876874973008
8.232,0.002810382773516079
8.248,0.0029597114690169857
8.264,0.003121438087809209
8.28,0.0032971509973363285
8.296,0.003489158119346648
8.312,0.003696388029925215
8.328,0.003924393361660538
8.344,0.004174743945477919
8.36,0.004450547848531919
8.376,0.004755556804089768
8.392,0.00509431231389983
8.408,0.005472377237075956
8.424,0.005896667947430116
8.44,0.006375956873209735
8.456,0.0069216233030205245
8.472,0.007548901112051553
8.488,0.008279013304019391
8.504,0.009143139565640026
8.52,0.010190473653661384
8.536,0.011506513825589353
8.552,0.01326093452605225
8.568,0.015858840101016576
8.584,0.02055135626826197
8.6,0.0321308372139299
8.616,0.04719599404906979
8.632,0.06681574441436137
8.648,0.06493245932343188
8.664,0.040866617604475186
8.68,0.03720429866710168
8.696,0.0401059736816319
8.712,0.04646409606936502
8.728,0.056175997089364084
8.744,0.07035778523786748
8.76,0.09142614151354914
8.776,0.12415244327024984
8.792,0.17855013877074505
8.808,0.2782148530956268
8.824,0.488939092346355
8.84,1.0426233736801274
8.856,2.9383448868743085
8.872,5.1888305466471865
8.888,1.960165146260896
8.904,0.8683621668697006
8.92,0.5076564432277823
8.936,0.27176921372106166
8.952,0.16990198291190844
8.968,0.11736589695600498
8.984,0.08622981887733285
9.0,0.06612282568793791
9.016,0.05234647021335169
9.032,0.042482519119775033
9.048,0.03517271530126924
9.064,0.029603254122268566
9.08,0.025261354625833544
9.096,0.021810486241671367
9.112,0.019022204110399635
9.128,0.01673694333100998
9.144,0.014840485340508481
9.16,0.013249311266058335
9.176,0.011901199050225268
9.192,0.010749016001662242
9.208,0.009756532402038116
9.224,0.00889552551492397
9.24,0.008143745882848802
9.256,0.007483462365628899
9.272,0.0069004098886419046
9.288,0.00638313118812499
9.304,0.0059218644382799755
9.32,0.0055016118693835365
9.336,0.005130660194621255
9.352,0.004774770798828924
9.368,0.0044727773297284
9.384,0.004198555301677073
9.4,0.003948800603692296
9.416,0.0037206865005762475
9.432,0.003511782283245254
9.448,0.0033199915301233584
9.464,0.003143493930445391
9.48,0.0029807056954048532
9.496,0.002830242883045524
9.512,0.0026908918827051294
9.528,0.002561584863008928
9.544,0.0024413792518285494
9.56,0.0023294405088176437
9.576,7.025803660410609e-05
9.592,6.698846677957603e-05
9.608,6.394189974001616e-05
9.624,0.0
9.64,0.0
9.656,0.0
9.672,0.0
9.688,0.0
9.704,7.037325919348971e-10
9.72,9.480279504328192e-10
9.736,1.345653011601808e-09
9.752,2.0579031852022148e-09
9.768,3.530888004006223e-09
9.784,7.408300853026195e-09
9.8,2.4249452204948412e-08
9.815999999999999,5.055959294830894e-07
9.832,5.812892867735293e-08
9.847999999999999,1.1505638970637727e-08
9.864,4.7368636472046805e-09
9.879999999999999,2.5654716134741e-09
9.896,1.6052418547256916e-09
9.911999999999999,1.098162825224312e-09
9.928,7.982438988872336e-10
9.943999999999999,0.0
9.96,0.0
9.975999999999999,0.0
9.992,0.0
10.008,0.0
10.024000000000001,0.0
10.04,0.0
10.056000000000001,0.0
10.072,0.0
10.088000000000001,0.0
10.104,0.0
10.120000000000001,0.0
10.136,0.0
10.152000000000001,0.0
10.168,0.0
10.184000000000001,0.0
10.2,0.0
10.216000000000001,0.0
10.232,0.0
10.248000000000001,5.111621886347547e-10
10.264,7.037747480594903e-10
10.280000000000001,1.0298998022652815e-09
10.296,1.6487953178389226e-09
10.312000000000001,3.0532979106750255e-09
10.328,7.462567941477142e-09
10.344,3.8512400582390085e-08
10.36,2.936573891535951e-07
10.376,1.5078163845090165e-08
10.392,4.65738086097655e-09
10.408,2.2292520350549992e-09
10.424,1.3022103876048508e-09
10.44,8.527000701377586e-10
10.456,6.013078504090295e-10
10.472,4.466650411663355e-10
10.488,0.0
10.504,0.0
10.52,0.0
10.536,0.0
10.552,0.0
10.568,0.0
10.584,0.0
10.6,0.0
10.616,0.0
10.632,0.0
10.648,0.0
10.664,0.0
10.68,0.0
10.696,0.0
10.712,0.0
10.728,0.0
10.744,0.0
10.76,0.0
10.776,0.0
10.792,2.8641735650374036e-10
10.808,3.869845290581921e-10
10.824,5.515425402630991e-10
10.84,8.485715925299101e-10
10.856,1.4702743665861846e-09
10.872,3.142880903825764e-09
10.888,1.0804538558521837e-08
10.904,3.059901248014662e-07
10.92,1.987187645838506e-08
10.936,4.278683291716469e-09
10.952,1.8068440817694675e-09
10.968,9.905642348867777e-10
10.984,6.242430494040073e-10
11.0,4.290566287667926e-10
