wavenumbers,absorbance
7.0,0.01856427579737408
7.016,0.04117111826822682
7.032,0.141688797650456
7.048,0.362629806872148
7.064,0.08721871448422597
7.08,0.03138629988842242
7.096,0.018139555376217448
7.112,0.011822077456294638
7.128,0.008149693691177552
7.144,0.006664879609687794
7.16,0.006708579904097004
7.176,0.006767001360118344
7.192,0.0082152072421871
7.208,0.013683570768957655
7.224,0.02915394891611736
7.24,0.023506740416029317
7.256,0.04101548329935765
7.272,0.14925322713258962
7.288,0.19375098201356727
7.304,0.09242666837176139
7.32,0.03372093993768719
7.336,0.020576768619047198
7.352,0.01123682407198223
7.368,0.007776817399617199
7.384,0.006344512064021313
7.4,0.005829051151887453
7.416,0.005935012823772229
7.432,0.0066886206436873145
7.448,0.008366848237731987
7.464,0.011771650492571407
7.48,0.019234939374159866
7.496,0.039326246815761336
7.5120000000000005,0.12000772276955655
7.5280000000000005,0.4426208654913655
7.5440000000000005,0.1303242285912539
7.5600000000000005,0.0410976180362407
7.5760000000000005,0.020018164997429325
7.592,0.015584384772987903
7.608,0.007983958696450034
7.624,0.005332513744711869
7.64,0.003918634963459204
7.656,0.003026495346479994
7.672,0.0024181844165558834
7.688,0.001982926650234942
7.704,0.0016608194040234705
7.72,0.001413516579729578
7.736,0.0011489070959116489
7.752,0.0010008602968277303
7.768,0.0008791244480696797
7.784,0.0007696527917882426
7.8,0.0006874393868368245
7.816,0.0006196365103598547
7.832,0.0005644902222058315
7.848,0.0005216826260761874
7.864,0.0005081802704589267
7.88,0.0006810709133907784
7.896,0.0017705191417107195
7.912,0.000564193268373968
7.928,0.0005345739957444271
7.944,0.0003000210454998557
7.96,0.0002582423420791967
7.976,0.00023325717861371484
7.992,0.00021820025122995155
8.008,0.0002185783713074169
8.024000000000001,0.00020927879971475316
8.04,9.747788923277653e-06
8.056000000000001,3.796296896241321e-06
8.072,2.4552164805994307e-06
8.088000000000001,2.038495309196361e-06
8.104,1.940918986423214e-06
8.120000000000001,3.616929824770624e-06
8.136,5.8118490916033165e-06
8.152000000000001,1.9238681048433317e-06
8.168,1.917290760796594e-06
8.184,2.4045706980010576e-06
8.2,2.664314569166505e-06
8.216,4.736430858467808e-06
8.232,3.4665826515444994e-05
8.248,1.4867359942202005e-05
8.264,4.62112984814558e-06
8.28,1.3249517468977351e-05
8.296,1.4597993228736737e-05
8.312,1.842566033529175e-05
8.328,5.661123281497174e-05
8.344,2.831028494052014e-05
8.36,4.669082954269474e-05
8.376,0.00012857023142991605
8.392,0.00022499252253239632
8.408,8.84000647557713e-05
8.424,4.0676693780044436e-05
8.44,3.092498300285027e-05
8.456,2.8437467315638367e-05
8.472,2.8596640619539196e-05
8.488,3.008602062779719e-05
8.504,3.26446074020366e-05
8.52,3.6262872452248846e-05
8.536,4.202935669106984e-05
8.552,4.9264827880606335e-05
8.568,6.0875993620682574e-05
8.584,8.461007513726927e-05
8.6,0.00016507884570952894
8.616,0.0003913285363627167
8.632,0.0001796427812397115
8.648,0.00012928153709464697
8.664,0.0001343926513828346
8.68,0.0001561413080730213
8.696,0.0001944236685827989
8.712,0.0002545080370397074
8.728,0.00035615364007654293
8.744,0.0005253815677942634
8.76,0.0008554404264809834
8.776,0.0016288486708072928
8.792,0.0040996939129355385
8.808,0.015706095809813154
8.824,0.013440508407885144
8.84,0.0036281181166310334
8.856,0.001513479885662588
8.872,0.000825882785876264
8.888,0.0005315245629883603
8.904,0.00038932078798827995
8.92,0.0003304059492436819
8.936,0.00036638165893033335
8.952,0.0007890328351806755
8.968,0.0021952083201546412
8.984,0.0009331438585738791
9.0,0.0007628508268481776
9.016,0.0007532773199778151
9.032,0.0007908302186401703
9.048,0.0008572995191226794
9.064,0.0009455896147905005
9.08,0.0010652086162310742
9.096,0.0012353875307226472
9.112,0.001508151421895848
9.128,0.002058328669537491
9.144,0.0038449638752362856
9.16,0.015379005958778036
9.176,0.0070526532775682955
9.192,0.0034607740424398505
9.208,0.0031328957118844977
9.224,0.0035207411258760994
9.24,0.004804267045688919
9.256,0.006241249664880208
9.272,0.007211148634111228
9.288,0.008837485000046963
9.304,0.011782061344164345
9.32,0.01710930485046522
9.336,0.027665869525020037
9.352,0.052960412241246875
9.368,0.13889827061371202
9.384,0.6713995367635329
9.4,0.5038363191949594
9.416,0.1161338742255901
9.432,0.04863801614312135
9.448,0.030284257922714455
9.464,0.025333831307264878
9.48,0.02296565681093991
