wavenumbers,absorbance
7.0,0.0007095244876764457
7.016,2.437977075058554e-05
7.032,0.00026898431128150724
7.048,2.589255381262066e-05
7.064,0.0001676308647538057
7.08,0.00012132518915348264
7.096,0.0007638525260380167
7.112,0.0013530692422234509
7.128,0.0013277685739926865
7.144,0.00012907773348007134
7.16,0.016220216767837817
7.176,0.0002953842339678493
7.192,1.7228782998322323e-05
7.208,0.00021392480773394976
7.224,0.004705967358008056
7.24,0.00018079085400333957
7.256,3.0129055549597503e-05
7.272,1.4747200548479653e-05
7.288,1.0368072421047223e-05
7.304,0.0008427071649803567
7.32,0.0037438526308981807
7.336,6.763988800359554e-05
7.352,9.845541415582044e-05
7.368,3.4770560420892074e-05
7.384,0.00012166469672628858
7.4,0.001748841166079123
7.416,0.00038412284215801426
7.432,6.200471395179425e-05
7.448,0.000139806922378682
7.464,0.00018803075238956973
7.48,0.015604632928388654
7.496,0.00013746525097476658
7.5120000000000005,0.005508188554171254
7.5280000000000005,0.0001246577525990468
7.5440000000000005,0.001391993881813501
7.5600000000000005,0.00031102820586042374
7.5760000000000005,0.00016738111750768322
7.592,4.058158104073643e-05
7.608,5.609602063174278e-06
7.624,7.37176827787306e-06
7.64,4.866862019329816e-05
7.656,0.001715276458356838
7.672,0.00018121446247701278
7.688,7.431539535169729e-06
7.704,0.004902778227187531
7.72,1.2511052105315586e-05
7.736,0.000549246808251466
7.752,2.1337109387802367e-05
7.768,3.0792809171923964e-06
7.784,0.00060934344921035
7.8,0.00036163237821600655
7.816,0.0024069721711322974
7.832,0.00019560401973609817
7.848,0.0004522666976414947
7.864,0.00015405327740967647
7.88,0.03118536348642706
7.896,0.0002931391238170435
7.912,0.0017513255724228229
7.928,0.0006705458884393589
7.944,0.0009335251857000627
7.96,0.00017933112928329652
7.976,0.0003185369382822094
7.992,2.8762861369408706e-05
8.008,0.0006104212900030758
8.024000000000001,0.0001275850987980361
8.04,0.002760568476245585
8.056000000000001,0.004206518383385345
8.072,0.0026376801368044223
8.088000000000001,5.7592588321754025e-05
8.104,0.0005939864841230831
8.120000000000001,0.0004726512571296195
8.136,0.0012423589566771833
8.152000000000001,0.007582877593603002
8.168,0.0002552262836328715
8.184,0.021370629608476795
8.2,0.0003593012201960644
8.216,4.34553615779733e-05
8.232,5.251978073973672e-05
8.248,0.0009835046280446719
8.264,0.00022178525817122193
8.28,0.0007096834451695153
8.296,0.0057747752165350765
8.312,0.000230535170757905
