wavenumbers,absorbance
7.0,1.0156077434894346e-10
7.016,1.4774481181985737e-10
7.032,5.254291338637218e-08
7.048,8.188152489762693e-08
7.064,1.3500085248170398e-07
7.08,2.652013809979653e-07
7.096,8.049488884274269e-07
7.112,5.978560033359582e-06
7.128,6.838356632029533e-06
7.144,1.1495215494621807e-06
7.16,3.030753079063029e-07
7.176,1.4688398828740505e-07
7.192,1.8050797871863492e-07
7.208,1.927842664711333e-07
7.224,2.1575260533819157e-07
7.24,3.8123506374517843e-07
7.256,8.743492453649044e-07
7.272,3.687805556110263e-06
7.288,0.00017833927912406798
7.304,2.8815342859810137e-06
7.32,7.719298614984294e-07
7.336,3.5077151878669377e-07
7.352,1.9947141341942897e-07
7.368,1.284913057012486e-07
7.384,0.0
7.4,0.0
7.416,5.4006103469379275e-08
7.432,7.838717084322108e-08
7.448,2.865923895115247e-05
7.464,4.561149503899141e-05
7.48,7.243416825735634e-05
7.496,0.0001324908661249443
7.5120000000000005,0.00036924257264096805
7.5280000000000005,0.0013826772011986941
7.5440000000000005,0.030955926244349723
7.5600000000000005,0.00408741086684926
7.5760000000000005,0.000286052179906607
7.592,0.00012089309149362121
7.608,6.755549503602305e-05
7.624,4.323959383775138e-05
7.64,4.161595107982354e-06
7.656,1.8622669530220677e-07
7.672,0.0
7.688,0.0
7.704,0.0
7.72,0.0
7.736,0.0
7.752,0.0
7.768,0.0
7.784,0.0
7.8,1.826616522903158e-10
7.816,2.905167769508755e-10
7.832,8.538189035398068e-08
7.848,1.393478277911005e-07
7.864,2.506284246764916e-07
7.88,7.470758999261011e-07
7.896,2.3381217843068817e-06
7.912,0.00010812445284877973
7.928,9.059264976921158e-06
7.944,6.987482186949636e-07
7.96,2.5849437950074103e-07
7.976,1.4175945596446377e-07
7.992,8.975078315178304e-08
8.008,1.5018304668292034e-07
8.024000000000001,2.11474453830466e-07
8.04,3.487004008610572e-07
8.056000000000001,6.827022650336829e-07
8.072,1.8888665185139903e-06
8.088000000000001,1.619606975304853e-05
8.104,1.619606975304853e-05
8.120000000000001,1.8888665185139903e-06
8.136,6.827022650336829e-07
8.152000000000001,3.487004008610572e-07
8.168,2.1103769178530958e-07
8.184,1.4130553995231266e-07
8.2,0.0
8.216,0.0
8.232,0.0
8.248,0.0
8.264,9.555605016570422e-08
8.28,1.4887377218611173e-07
8.296,4.923596665811825e-05
8.312,7.833663309180654e-05
8.328,0.00013494145421284086
8.344,0.0004402401611590816
8.36,0.0008971442459561906
8.376,0.020830164158693366
8.392,0.002687133771420254
8.408,0.0006958989236705358
8.424,0.00020953217070375117
8.44,0.0001072609723584055
8.456,6.562249388003254e-05
8.472,4.435616004116379e-05
8.488,2.7626028789146093e-06
8.504,0.0
8.52,0.0
8.536,0.0
8.552,0.0
8.568,0.0
8.584,2.1117227216927072e-10
8.6,3.188449190184083e-10
8.616,9.152796113500317e-08
8.632,1.4381235142815908e-07
8.648,2.418435364169189e-07
8.664,5.200198665132254e-07
8.68,1.4204893578233751e-06
8.696,1.725744057527634e-05
8.712,7.419597058237807e-06
8.728,2.2413664094135493e-06
8.744,4.811340808509648e-07
8.76,2.3172517341811334e-07
8.776,1.3848152994725343e-07
8.792,9.236123920878107e-08
8.808,5.932545970213925e-09
8.824,2.0554891433037841e-07
8.84,3.171205350951622e-07
8.856,5.522189563748552e-07
8.872,1.1922911612116714e-06
8.888,4.220988681589232e-06
8.904,0.0001836208653043894
8.92,6.928798398804464e-06
8.936,1.5301071476358892e-06
8.952,6.522657499073462e-07
8.968,3.5932053265256386e-07
8.984,2.2710301147031688e-07
9.0,0.0
9.016,0.0
9.032,0.0
9.048,0.0
9.064,0.0
9.08,0.0
9.096,1.1417238321114046e-07
9.112,1.7547395551629003e-07
9.128,5.442497427390827e-05
9.144,8.105448680000273e-05
9.16,0.00013778297140680518
9.176,0.000331013232364421
9.192,0.0006823781131226071
9.208,0.00472931442132593
9.224,0.010417104082347308
9.24,0.005156158433145257
9.256,0.00038457522983818034
9.272,0.00017083342762194386
9.288,9.85429832457462e-05
9.304,6.439751185980179e-05
9.32,4.1809055848245205e-06
9.336,1.536678752721524e-07
9.352,0.0
9.368,2.272387713423965e-10
9.384,3.5277447098648466e-10
9.4,9.21587109158629e-08
9.416,1.41790804335236e-07
9.432,2.3499944987829067e-07
9.448,4.434846723932356e-07
9.464,1.0797251322285557e-06
9.48,4.945795251469531e-06
9.496,6.656319194276361e-05
9.512,8.239530418658736e-06
9.528,1.0164746498684449e-06
9.544,3.860881694791312e-07
9.56,2.124917557139626e-07
9.576,1.3561520427165828e-07
9.592,9.123080991493911e-09
9.608,7.349425126698785e-10
9.624,2.0498956608739628e-07
9.64,3.016900009059195e-07
9.656,4.873207007447189e-07
9.672,9.166449314473202e-07
9.688,2.318274629561495e-06
9.704,1.3642985071989774e-05
9.72,5.965749341568921e-05
9.736,3.8204528329133295e-06
9.752,1.2372287788706762e-06
9.768,6.037593793422966e-07
9.784,3.5639923971799603e-07
9.8,2.3491176865046197e-07
9.815999999999999,0.0
9.832,0.0
9.847999999999999,0.0
9.864,0.0
9.879999999999999,0.0
9.896,0.0
9.911999999999999,0.0
9.928,1.3347723120923685e-07
9.943999999999999,2.0258831202738337e-07
9.96,3.4341736718427696e-07
9.975999999999999,8.544922544769982e-05
9.992,0.00013976920646830343
10.008,0.00027993272331760854
10.024000000000001,0.0005636261432120154
10.04,0.002298905989272842
10.056000000000001,0.11658319653909104
10.072,0.0027281588464903857
10.088000000000001,0.0008739496428472244
10.104,0.00027568245037054746
10.120000000000001,0.00014649075605337978
10.136,9.182427635492815e-05
10.152000000000001,9.58768141037112e-06
10.168,4.224252204240381e-06
10.184000000000001,6.162230874614352e-10
10.2,1.4272178984488244e-07
10.216000000000001,2.2599007279202138e-07
10.232,3.936580228268257e-07
10.248000000000001,1.0391688380514206e-06
10.264,2.5595745740073996e-06
10.280000000000001,5.798547692654015e-05
10.296,7.517187862091364e-06
10.312000000000001,4.832986726508094e-06
10.328,7.443619044182503e-07
10.344,3.25028531138031e-07
10.36,1.956143222465468e-07
10.376,2.096818016540228e-08
10.392,9.083072327892941e-09
10.408,8.371245538317232e-11
10.424,0.0
10.44,2.796030558871678e-07
10.456,4.2420709855419504e-07
10.472,7.18643076616404e-07
10.488,1.4727205623043558e-06
10.504,4.5485267248789615e-06
10.52,7.133039645205103e-05
10.536,1.62551448519534e-05
10.552,2.759758172090862e-06
10.568,1.091090714952316e-06
10.584,5.800432255041182e-07
10.6,3.5908748314989253e-07
10.616,2.439621903992739e-07
10.632,0.0
10.648,0.0
10.664,0.0
10.68,0.0
10.696,0.0
10.712,0.0
10.728,0.0
10.744,0.0
10.76,1.503930571734455e-07
10.776,2.2563876159416956e-07
10.792,3.7552134632739076e-07
10.808,8.827093871461868e-05
10.824,0.00013497816447715643
10.84,0.0002530697928070003
10.856,0.00048672556815998426
10.872,0.0014566723653372784
10.888,0.023814604495317793
10.904,0.0054426376266391435
10.92,0.00536446813506544
10.936,0.0004662427529508033
10.952,0.00021599045931492355
10.968,0.00012824018246880632
10.984,8.516903552873905e-05
11.0,5.981684255599183e-06
