wavenumbers,Aavg
7.333333333,-0.022081657
7.333699963,0.055035017
7.334066593,-0.016600336
7.334433223,0.04175395
7.334799853,-0.061204365
7.335166483,0.025085339
7.335533113,-0.046241831
7.335899743,0.025235907
7.336266373,-0.037873382
7.336633003,-0.001609997
7.336999633,-0.02441971
7.337366263,-0.009364057
7.337732893,0.024251741
7.338099523,-0.017182851
7.338466153,0.036189613
7.338832783,-0.037840476
7.339199413,0.039579971
7.339566043,-0.0521338
7.339932673,0.029114928
7.340299303,-0.030836394
7.340665933,0.057363541
7.341032563,-0.042210719
7.341399193,0.001305146
7.341765823,-0.020681377
7.342132453,-0.010482449
7.342499083,0.001132009
7.342865713,-0.034172925
7.343232343,0.023921506
7.343598973,-0.04551133
7.343965603,0.026750183
7.344332233,-0.042623326
7.344698863,0.055732724
7.345065493,-0.038133921
7.345432123,0.021817078
7.345798753,-0.026929122
7.346165383,0.027938428
7.346532013,-0.012416939
7.346898643,-0.003180857
7.347265273,0.006147788
7.347631903,-0.033701847
7.347998533,0.010871147
7.348365163,-0.046025832
7.348731793,0.039143068
7.349098423,-0.051169695
7.349465053,0.030630431
7.349831683,-0.036432599
7.350198314,0.044720428
7.350564944,-0.022006023
7.350931574,0.029935239
7.351298204,0.001025895
7.351664834,0.008979735
7.352031464,0.001617287
7.352398094,-0.030890784
7.352764724,0.021919538
7.353131354,-0.030972891
7.353497984,0.045374298
7.353864614,-0.049274022
7.354231244,0.040305285
7.354597874,-0.054819318
7.354964504,0.026953374
7.355331134,-0.026176926
7.355697764,0.037687917
7.356064394,-0.016937741
7.356431024,-0.002872547
7.356797654,0.020752305
7.357164284,0.006691622
7.357530914,0.046016007
7.357897544,-0.015574498
7.358264174,0.052790719
7.358630804,-0.053132418
7.358997434,0.012280101
7.359364064,-0.056919125
7.359730694,0.033544468
7.360097324,-0.049875142
7.360463954,0.000447115
7.360830584,-0.030048018
7.361197214,-0.010706412
7.361563844,-0.009628074
7.361930474,-0.019620996
7.362297104,0.036796284
7.362663734,-0.021552905
7.363030364,0.064357611
7.363396994,0.002150284
7.363763624,0.091707563
7.364130254,0.007113005
