wavenumber,Aavg
7.333333333,0.02591761
7.333699963,0.010674743
7.334066593,0.02381591
7.334433223,-0.010802592
7.334799853,0.023910768
7.335166483,-0.004125906
7.335533113,0.00145337
7.335899743,-0.022888282
7.336266373,-0.014662845
7.336633003,-0.036590971
7.336999633,-0.030660073
7.337366263,-0.007864238
7.337732893,-0.013500842
7.338099523,0.006869575
7.338466153,-0.004650414
7.338832783,0.023538916
7.339199413,0.012961202
7.339566043,0.033207023
7.339932673,0.018952324
7.340299303,0.026464334
7.340665933,0.002957939
7.341032563,-0.000167878
7.341399193,-0.010260374
7.341765823,-0.008014735
7.342132453,-0.030039797
7.342499083,-0.042933593
7.342865713,-0.022165834
7.343232343,-0.040474672
7.343598973,-0.001206925
7.343965603,-0.027168414
7.344332233,0.017957171
7.344698863,-0.010597054
7.345065493,0.011865416
7.345432123,0.000236988
7.345798753,0.013937628
7.346165383,-0.000643429
7.346532013,-0.006967452
7.346898643,0.00999089
7.347265273,-0.009437844
7.347631903,-0.001193899
7.347998533,-0.027351991
7.348365163,-0.00444251
7.348731793,-0.034934248
7.349098423,-0.0054237
7.349465053,-0.022625885
7.349831683,0.011807962
7.350198314,0.008137696
7.350564944,0.033346241
7.350931574,0.026864136
7.351298204,0.020049042
7.351664834,0.016072384
7.352031464,0.001584624
7.352398094,0.01048983
7.352764724,-0.000569527
7.353131354,0.019295579
7.353497984,-0.014283535
7.353864614,0.004980651
7.354231244,-0.024146522
7.354597874,0.001608572
7.354964504,-0.008542815
7.355331134,0.001181301
7.355697764,-0.020129505
7.356064394,-0.00699268
7.356431024,0.016046579
7.356797654,0.022659512
7.357164284,0.042745493
7.357530914,0.018878953
7.357897544,0.043069681
7.358264174,-0.005373037
7.358630804,0.014923437
7.358997434,-0.008422807
7.359364064,0.008249782
7.359730694,-0.019746084
7.360097324,-0.013519374
7.360463954,-0.032332281
7.360830584,-0.028671221
7.361197214,-0.022190123
7.361563844,-0.035659281
7.361930474,-0.002374289
7.362297104,-0.014373659
7.362663734,0.023964169
7.363030364,0.017448484
7.363396994,0.062987673
7.363763624,0.039415692
7.364130254,0.06924786
7.364496884,0.041057997
7.364863514,0.043209973
7.365230144,0.0039686
7.365596774,0.010469583
7.365963404,-0.010486989
7.366330034,-0.036138108
7.366696664,-0.048344918
7.367063294,-0.068457334
7.367429924,-0.040532548
7.367796554,-0.060446466
7.368163184,-0.028225756
7.368529814,-0.033748975
7.368896444,0.011148841
7.369263074,0.001102377
7.369629704,0.035747056
7.369996334,0.057150383
7.370362964,0.06824829
7.370729594,0.060262297
7.371096224,0.029266777
7.371462854,0.018160547
7.371829484,-0.011695418
7.372196114,0.004610935
7.372562744,-0.04294023
7.372929374,-0.018530259
7.373296004,-0.068751769
7.373662634,-0.046386545
7.374029264,-0.058142692
7.374395894,-0.032897998
7.374762524,-0.042591818
7.375129154,-0.017587306
7.375495784,-0.00738495
7.375862414,0.006377755
7.376229044,0.026653427
7.376595674,0.030820811
7.376962304,0.05799675
7.377328934,0.012054435
7.377695564,0.02110609
7.378062194,-0.02114926
7.378428824,0.006613314
7.378795454,-0.017439091
7.379162084,-0.005809452
7.379528714,-0.023779935
7.379895344,-0.02335951
7.380261974,-0.024551987
7.380628604,-0.026306549
7.380995234,-0.000753584
7.381361864,-0.005706973
7.381728494,0.011699474
7.382095124,0.002152705
7.382461754,0.034530058
7.382828384,0.016400443
7.383195014,0.031706799
7.383561644,0.010117376
7.383928274,0.019464893
7.384294904,0.014379316
7.384661534,0.011407479
7.385028164,-0.003214935
7.385394794,-0.017956935
7.385761424,-0.011674584
7.386128054,-0.034502331
7.386494684,-0.010758475
7.386861314,-0.027018849
7.387227944,0.004851146
7.387594574,-0.006116494
7.387961204,0.031345666
7.388327834,0.005413155
7.388694464,0.020035584
7.389061094,0.006004193
7.389427724,0.018067725
7.389794354,0.004840187
7.390160984,-0.016034731
7.390527614,-0.007206514
7.390894244,-0.040470552
