wavenumer,Aavg
7.333333333,0.028041789
7.333699963,0.004806839
7.334066593,0.03503004
7.334433223,-0.032672513
7.334799853,0.037385746
7.335166483,-0.022614484
7.335533113,0.028243037
7.335899743,-0.04171062
7.336266373,0.008535735
7.336633003,-0.059787499
7.336999633,-0.024996643
7.337366263,-0.022874848
7.337732893,-0.00318879
7.338099523,0.012305862
7.338466153,-0.006853924
7.338832783,0.038139309
7.339199413,-0.006992421
7.339566043,0.048063697
7.339932673,-0.005829267
7.340299303,0.052701219
7.340665933,-0.023099063
7.341032563,0.015224289
7.341399193,-0.034700922
7.341765823,-0.007933268
7.342132453,-0.048067877
7.342499083,-0.04841715
7.342865713,-0.020490241
7.343232343,-0.051094682
7.343598973,0.001813467
7.343965603,-0.04509664
7.344332233,0.033095339
7.344698863,-0.026994039
7.345065493,0.035165685
7.345432123,-0.023649174
7.345798753,0.035019828
7.346165383,-0.025495886
7.346532013,0.010264962
7.346898643,-0.004754089
7.347265273,-0.004535145
7.347631903,-0.00927411
7.347998533,-0.035159558
7.348365163,0.007706261
7.348731793,-0.057032947
7.349098423,0.01425661
7.349465053,-0.047410932
7.349831683,0.027844762
7.350198314,-0.024957874
7.350564944,0.054643662
7.350931574,0.016015974
7.351298204,0.043747924
7.351664834,-0.00217201
7.352031464,0.002774924
7.352398094,0.012817398
7.352764724,0.000651285
7.353131354,0.028998643
7.353497984,-0.02230727
7.353864614,0.030177853
7.354231244,-0.046605558
7.354597874,0.018573302
7.354964504,-0.038402047
7.355331134,0.02188012
7.355697764,-0.032477943
7.356064394,0.012159052
7.356431024,0.014984999
7.356797654,0.039592797
7.357164284,0.056882408
7.357530914,0.026249796
7.357897544,0.060964659
7.358264174,-0.014020282
7.358630804,0.029783136
7.358997434,-0.037497112
7.359364064,0.038505096
7.359730694,-0.047348556
7.360097324,-0.006142856
7.360463954,-0.065319417
7.360830584,-0.021328834
7.361197214,-0.040368026
7.361563844,-0.02797672
7.361930474,-0.005803062
7.362297104,-0.017316573
7.362663734,0.03335515
7.363030364,0.014113175
7.363396994,0.091092664
7.363763624,0.044266541
7.364130254,0.112328777
7.364496884,0.037871796
7.364863514,0.07178175
7.365230144,-0.019072118
7.365596774,0.018232044
7.365963404,-0.035800563
7.366330034,-0.030576731
7.366696664,-0.05855675
7.367063294,-0.079985813
7.367429924,-0.038257341
7.367796554,-0.070694601
7.368163184,-0.007327124
7.368529814,-0.045804939
7.368896444,0.036037596
7.369263074,-0.012550803
7.369629704,0.059598422
7.369996334,0.047093765
7.370362964,0.098001327
7.370729594,0.05093433
7.371096224,0.041764019
7.371462854,0.025633532
7.371829484,-0.000112042
7.372196114,0.019159845
7.372562744,-0.048277569
7.372929374,0.004015865
7.373296004,-0.092365489
7.373662634,-0.035782624
7.374029264,-0.094515228
7.374395894,-0.017990555
7.374762524,-0.072942751
7.375129154,0.0019267
7.375495784,-0.00975007
7.375862414,0.023449187
7.376229044,0.028566227
7.376595674,0.029151772
7.376962304,0.06826911
7.377328934,0.005082144
7.377695564,0.038181619
7.378062194,-0.041581877
7.378428824,0.032169566
7.378795454,-0.05425696
7.379162084,0.012181846
7.379528714,-0.057940113
7.379895344,-0.019114936
7.380261974,-0.051810647
7.380628604,-0.023826966
7.380995234,-0.003595088
7.381361864,0.004281588
7.381728494,0.024551522
7.382095124,-0.007580402
7.382461754,0.056611715
7.382828384,0.007461545
7.383195014,0.06454734
7.383561644,-0.003158796
7.383928274,0.052542605
7.384294904,-0.004877485
7.384661534,0.023531684
7.385028164,-0.010510635
7.385394794,-0.009258827
7.385761424,-0.026444999
7.386128054,-0.043975417
7.386494684,-0.016841194
7.386861314,-0.041622134
7.387227944,0.014254303
7.387594574,-0.032557256
7.387961204,0.046732702
7.388327834,-0.017530716
7.388694464,0.04534738
7.389061094,-0.01287003
7.389427724,0.046794185
7.389794354,-0.008185555
7.390160984,-0.002421892
7.390527614,-0.008641419
7.390894244,-0.036840923
7.391260874,-0.019159478
7.391627504,-0.048908387
7.391994134,0.01678219
7.392360764,-0.047449149
7.392727394,0.013485402
7.393094024,-0.041803672
7.393460654,0.039024443
7.393827284,-0.008232239
7.394193914,0.038106475
7.394560544,0.012577949
7.394927174,0.041695036
7.395293804,0.027354386
7.395660434,0.024998922
7.396027064,0.037850452
7.396393694,-0.01977096
7.396760324,0
7.397126954,-0.053625091
7.397493584,0.001779019
7.397860214,-0.049396119
7.398226844,0.003199023
7.398593474,-0.059012517
7.398960104,-0.002850797
7.399326734,-0.036189743
7.399693364,-0.007292789
7.400059994,0.001409259
7.400426624,0.008098835
7.400793254,0.051361857
7.401159884,0.020367464
7.401526514,0.074643273
7.401893144,0.018047759
7.402259774,0.059441928
7.402626404,-0.025398954
7.402993034,0.026995564
7.403359664,-0.056187655
7.403726294,-0.006919481
7.404092924,-0.047135269
7.404459554,-0.025532714
7.404826184,-0.050396598
7.405192814,-0.058028044
7.405559444,-0.027029673
7.405926074,-0.04520941
7.406292704,0.010813056
