wavenumbers,Aavg
7.333333333,-0.065062306
7.33337,0.080487981
7.333406667,-0.055625362
7.333443333,0.060790332
7.33348,-0.03548809
7.333516667,0.027605269
7.333553333,0.010388696
7.33359,-0.017562718
7.333626667,0.043908152
7.333663333,-0.05017163
7.3337,0.071511597
7.333736667,-0.07073325
7.333773333,0.074071204
7.33381,-0.059921877
7.333846667,0.052312834
7.333883333,-0.038063102
7.33392,0.018373736
7.333956667,0.007714585
7.333993333,-0.025324564
7.33403,0.042380466
7.334066667,-0.056783482
7.334103333,0.067765183
7.33414,-0.075360275
7.334176667,0.070529706
7.334213333,-0.060631893
7.33425,0.047609696
7.334286667,-0.03768053
7.334323333,0.014455447
7.33436,0.009934572
7.334396667,-0.030465215
7.334433333,0.044672875
7.33447,-0.061118383
7.334506667,0.069207694
7.334543333,-0.07654055
7.33458,0.069154268
7.334616667,-0.060478433
7.334653333,0.044838572
7.33469,-0.03662879
7.334726667,0.010472503
7.334763333,0.01305562
7.3348,-0.03376354
7.334836667,0.049022905
7.334873333,-0.061685895
7.33491,0.072821808
7.334946667,-0.075209372
7.334983333,0.071178524
7.33502,-0.056396771
7.335056667,0.044839493
7.335093333,-0.02939398
7.33513,0.009032059
7.335166667,0.020120241
7.335203333,-0.034485001
7.33524,0.053108012
7.335276667,-0.062146219
7.335313333,0.073518831
7.33535,-0.074863682
7.335386667,0.069650166
7.335423333,-0.054101383
7.33546,0.042955482
7.335496667,-0.026086252
7.335533333,0.005779365
7.33557,0.022878767
7.335606667,-0.039346133
7.335643333,0.05538255
7.33568,-0.065250301
7.335716667,0.075365916
7.335753333,-0.074018925
7.33579,0.068441251
7.335826667,-0.052935355
7.335863333,0.036463458
7.3359,-0.025800058
7.335936667,-0.002993957
7.335973333,0.023224462
7.33601,-0.044351615
7.336046667,0.055772481
7.336083333,-0.069513899
7.33612,0.072847447
7.336156667,-0.077128219
7.336193333,0.063932013
7.33623,-0.052282151
7.336266667,0.032343768
7.336303333,-0.022953214
7.33634,-0.008256584
7.336376667,0.025483234
7.336413333,-0.049644907
7.33645,0.056600035
7.336486667,-0.072807219
7.336523333,0.071113568
7.33656,-0.076559656
7.336596667,0.060556255
7.336633333,-0.048413826
7.33667,0.030207755
7.336706667,-0.017065788
7.336743333,-0.010079986
7.33678,0.032227039
7.336816667,-0.049040648
7.336853333,0.061330508
7.33689,-0.06972546
7.336926667,0.076238719
7.336963333,-0.072277959
7.337,0.065020841
7.337036667,-0.043496972
7.337073333,0.031658549
7.33711,-0.011456643
7.337146667,-0.008732206
7.337183333,0.0381608
7.33722,-0.047424137
7.337256667,0.066125218
7.337293333,-0.067599477
7.33733,0.078237582
7.337366667,-0.069118602
7.337403333,0.064431068
7.33744,-0.03870228
7.337476667,0.031055107
7.337513333,-0.005445378
7.33755,-0.009594442
7.337586667,0.04336627
7.337623333,-0.047552083
7.33766,0.071026499
7.337696667,-0.065724008
7.337733333,0.079442205
7.33777,-0.065002941
7.337806667,0.063394783
7.337843333,-0.033604318
7.33788,0.027494083
7.337916667,-0.002011532
7.337953333,-0.014547734
7.33799,0.044530888
7.338026667,-0.050716015
7.338063333,0.070210263
7.3381,-0.067308309
7.338136667,0.076233385
7.338173333,-0.064923811
7.33821,0.058184112
7.338246667,-0.032228883
7.338283333,0.02162139
7.33832,0.002123956
7.338356667,-0.019736443
7.338393333,0.047640588
7.33843,-0.054152352
7.338466667,0.07057642
7.338503333,-0.068801355
7.33854,0.074738582
7.338576667,-0.062792233
7.338613333,0.056576453
